iter	Logloss
0	0.5970928577
1	0.5634449804
2	0.5382882052
3	0.5196933007
4	0.5009582283
5	0.4868143363
6	0.4665545087
7	0.4407467509
8	0.4280125818
9	0.4033247778
10	0.3813719934
11	0.368085048
12	0.3468823692
13	0.3400490339
14	0.3162312471
15	0.3039756006
16	0.2991050306
17	0.2810436515
18	0.2644245828
19	0.2483584973
20	0.2432493609
21	0.2353632432
22	0.2273263562
23	0.2178897118
24	0.2077312174
25	0.1973623971
26	0.1900302236
27	0.1784049929
28	0.176689902
29	0.1730598775
30	0.1669515861
31	0.1536370654
32	0.1463339162
33	0.1429529708
34	0.1406920233
35	0.1359140854
36	0.1349405984
37	0.1319616747
38	0.1305644309
39	0.127990767
40	0.1234228223
41	0.1202569562
42	0.1187415456
43	0.1151203777
44	0.1069765239
45	0.1055536492
46	0.1011338714
47	0.09658290065
48	0.09321706609
49	0.09155464172
50	0.08742101802
51	0.08469024185
52	0.08444717319
53	0.08413620143
54	0.08252946721
55	0.07975301077
56	0.07559853192
57	0.07251996033
58	0.0683250723
59	0.06678065219
60	0.06523842035
61	0.06457558713
62	0.06352282679
63	0.06333446503
64	0.06237473599
65	0.06103601751
66	0.05976653654
67	0.05961651026
68	0.05657796712
69	0.05462230638
70	0.05363303931
71	0.05334006169
72	0.05233458216
73	0.05193518853
74	0.05120700274
75	0.05085881551
76	0.04929973174
77	0.04870012195
78	0.04778556306
79	0.0467599233
80	0.04554662778
81	0.04398834983
82	0.04380284539
83	0.043569173
84	0.04239981304
85	0.04191787483
86	0.04064120803
87	0.03985857779
88	0.03917169941
89	0.03812093513
90	0.03772109793
91	0.03711827596
92	0.03639834796
93	0.03634883082
94	0.03598848239
95	0.03591009628
96	0.0354936511
97	0.03506988333
98	0.03494151433
99	0.03456218483
100	0.034371827
101	0.03407044374
102	0.03394862478
103	0.03366293648
104	0.03361852779
105	0.03358718222
106	0.03356388373
107	0.03293904962
108	0.0325475811
109	0.03243335458
110	0.03185936462
111	0.03183658363
112	0.03172744337
113	0.0312778118
114	0.03090231178
115	0.0307531135
116	0.03070560721
117	0.03068574824
118	0.03022317369
119	0.0298395009
120	0.02946053734
121	0.02903240041
122	0.0287629061
123	0.02793166434
124	0.02747083634
125	0.02724203953
126	0.02711606211
127	0.02688383871
128	0.02688375739
129	0.02688378696
130	0.0268825117
131	0.02685703048
132	0.02633805792
133	0.02589138164
134	0.0253365391
135	0.02512595081
136	0.02472621341
137	0.02431367164
138	0.02372799363
139	0.02343260595
140	0.02324234423
141	0.02314689548
142	0.02300740767
143	0.02266225149
144	0.02249342157
145	0.02240370226
146	0.02235427198
147	0.02226509789
148	0.02204617419
149	0.02204611135
150	0.02204602079
151	0.02204599676
152	0.02203876288
153	0.02199151165
154	0.02176187574
155	0.02166347541
156	0.02148599957
157	0.02134714201
158	0.02132565661
159	0.02128307764
160	0.02078207888
161	0.02016073419
162	0.01992413055
163	0.01990441389
164	0.01980508945
165	0.01970981627
166	0.01965286011
167	0.01965215594
168	0.01965211343
169	0.01965184914
170	0.01962637901
171	0.01954202504
172	0.01945508543
173	0.01945470655
174	0.01945461968
175	0.01945451064
176	0.01945434245
177	0.01945431658
178	0.01945422786
179	0.0194522281
180	0.01941611416
181	0.01941444892
182	0.01940129339
183	0.01937392146
184	0.01920497695
185	0.01906730962
186	0.01904921199
187	0.01903843695
188	0.01902123939
189	0.01902043542
190	0.01887687047
191	0.01868009013
192	0.01867992194
193	0.01864798864
194	0.01863600487
195	0.01858421259
196	0.01855174516
197	0.01848101431
198	0.01843063961
199	0.01843063776
200	0.01843040673
201	0.01843040673
202	0.01843040673
203	0.01843040673
204	0.01843040673
205	0.01843040673
206	0.01843040673
207	0.01843040673
208	0.01843040673
209	0.01843040673
210	0.01843040673
211	0.01843040673
212	0.01843040673
213	0.01843040673
214	0.01843040673
215	0.01843040673
216	0.01843040673
217	0.01843040673
218	0.01843040673
219	0.01843040673
220	0.01843040673
221	0.01843040673
222	0.01843040673
223	0.01843040673
224	0.01843040673
225	0.01843040673
226	0.01843040673
227	0.01843040673
228	0.01843040673
229	0.01843040673
230	0.01843040673
231	0.01843040673
232	0.01843040673
233	0.01843040673
234	0.01843040673
235	0.01843040673
